,Compound,Phase,Band gap (eV),VBM (eV),CBM (eV),Compound mass,Compound type,Phase index,Average radius,HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
61,CS,CS_0,1.1334953271,-1.0744953271,0.0694953271028,22.03835,IV-VI,0,77.5,2.093625,-1.6703125,0.4233125,3.79900463373,-4.87349996083,-3.7295093066272003,3.80301036265,-5.47332286265,-3.3796978626499996
62,CS,CS_1,1.38155963303,-3.67555963303,-2.28144036697,22.03835,IV-VI,1,77.5,2.57505882353,-4.41252941176,-1.83747058824,3.30356593756,-6.97912557059,-5.58500630453,3.37732136188,-7.78985077364,-5.21479195012
63,CS,CS_2,0.0,1.64168599,1.64168599,22.03835,IV-VI,2,77.5,0.0,1.43221187,1.43221187,5.46110750528,-3.81942151528,-3.81942151528,5.48340012473,-4.05118825473,-4.05118825473
64,CSe,CSe_0,0.873707865169,-1.53070786517,-0.647292134831,45.48535,IV-VI,0,85.0,1.72914285714,-2.14207142857,-0.412928571429,3.21044586573,-4.7411537309,-3.857738000561,3.20794625827,-5.350017686839999,-3.620874829699
65,CSe,CSe_1,1.53848120301,-3.90848120301,-2.35851879699,45.48535,IV-VI,1,85.0,2.59626315789,-4.63363157895,-2.03736842105,2.85255235806,-6.7610335610700005,-5.21107115505,2.88915369853,-7.522785277480001,-4.9265221195799995
66,CSe,CSe_2,0.0,0.5824664,0.5824664,45.48535,IV-VI,2,85.0,0.0,0.44872843,0.44872843,4.14171402185,-3.5592476218500004,-3.5592476218500004,4.13440467191,-3.6856762419099995,-3.6856762419099995
67,CTe,CTe_0,0.5565625,0.1194375,0.6845625,69.80535,IV-VI,0,95.0,1.146,-0.2355,0.9105,3.93625907402,-3.81682157402,-3.2516965740200003,3.91579256085,-4.15129256085,-3.00529256085
68,CTe,CTe_1,1.28629032258,-3.23329032258,-1.93670967742,69.80535,IV-VI,1,95.0,2.10005882353,-3.77652941176,-1.67647058824,3.15112349699,-6.38441381957,-5.08783317441,3.18784419622,-6.96437360798,-4.864314784459999
69,CTe,CTe_2,0.110923076923,1.77607692308,1.89492307692,69.80535,IV-VI,2,95.0,0.57,1.512,2.082,5.14371357159,-3.3676366485100004,-3.24879049467,5.1114205297,-3.5994205297,-3.0294205297000003
70,SiO,SiO_0,1.39525203252,-0.50525203252,0.90125203252,22.04245,IV-VI,0,79.5,2.12613333333,-0.940066666667,1.18606666667,4.62382075066,-5.12907278318,-3.7225687181400002,4.64688612163,-5.586952788296999,-3.4608194549599998
71,SiO,SiO_1,0.538382352941,2.17261764706,2.72638235294,22.04245,IV-VI,1,79.5,1.38266666667,1.63316666667,3.01583333333,,,,,,
72,SiO,SiO_2,1.05522580645,1.01177419355,2.07822580645,22.04245,IV-VI,2,79.5,2.1182,0.3574,2.4756,6.56650783697,-5.55473364342,-4.48828203052,6.60038245656,-6.24298245656,-4.12478245656
73,SiS,SiS_0,1.43026744186,-2.28926744186,-0.85073255814,30.07575,IV-VI,0,99.5,2.29456521739,-2.8607826087,-0.566217391304,3.05607989145,-5.34534733331,-3.9068124495900003,3.06775557508,-5.928538183780001,-3.633972966384
74,SiS,SiS_1,2.2112372093,-4.0052372093,-1.7837627907,30.07575,IV-VI,1,99.5,3.10261538462,-4.63280769231,-1.53019230769,2.34389412737,-6.34913133667,-4.1276569180700005,2.3599969118,-6.992804604110001,-3.89018921949
75,SiS,SiS_2,0.856153846154,-0.386153846154,0.478153846154,30.07575,IV-VI,2,99.5,1.2775,-0.57325,0.70425,3.90910647285,-4.295260319004,-3.430952626696,3.92250413298,-4.49575413298,-3.21825413298
76,SiSe,SiSe_0,1.184,-2.245,-1.053,53.522749999999995,IV-VI,0,107.0,1.9503,-2.75165,-0.80135,2.76439980009,-5.00939980009,-3.81739980009,2.76919166221,-5.52084166221,-3.57054166221
77,SiSe,SiSe_1,2.13177880184,-3.94377880184,-1.80222119816,53.522749999999995,IV-VI,1,107.0,3.04285185185,-4.54892592593,-1.50607407407,2.10289778071,-6.046676582550001,-3.90511897887,2.09871277178,-6.64763869771,-3.6047868458499996
78,SiSe,SiSe_2,0.514031746032,-0.500031746032,0.0220317460317,53.522749999999995,IV-VI,2,107.0,0.9,-0.651,0.249,3.52749487338,-4.027526619412,-3.5054631273482997,3.5364227275,-4.1874227275,-3.2874227275
79,SiTe,SiTe_0,0.378274509804,-0.478274509804,-0.0927254901961,77.84275,IV-VI,0,117.0,0.654666666667,-0.595833333333,0.0588333333333,3.26373733825,-3.742011848054,-3.3564628284460998,3.26410201368,-3.8599353470130002,-3.2052686803467
80,SiTe,SiTe_1,1.83477884615,-3.30777884615,-1.46422115385,77.84275,IV-VI,1,117.0,2.5326,-3.7758,-1.2432,2.34403481152,-5.65181365767,-3.80825596537,2.33958292119,-6.115382921189999,-3.5827829211899997
81,SiTe,SiTe_2,0.245212121212,0.0637878787879,0.316212121212,77.84275,IV-VI,2,117.0,0.328,0.092,0.42,3.86422348942,-3.8004356106321002,-3.548011368208,3.86694404091,-3.77494404091,-3.44694404091
82,GeO,GeO_0,2.74427819549,-2.36527819549,0.389278195489,44.3047,IV-VI,0,86.5,3.893,-3.1375,0.7555,3.11938594783,-5.48466414332,-2.730107752341,3.1275097757,-6.2650097757,-2.3720097757
83,GeO,GeO_1,2.22817582418,-4.78217582418,-2.54182417582,44.3047,IV-VI,1,86.5,3.3152173913,-5.61760869565,-2.30239130435,2.10961348235,-6.891789306530001,-4.65143765817,2.14494778779,-7.762556483440001,-4.44733909214
84,GeO,GeO_2,0.253125,-2.616125,-2.352875,44.3047,IV-VI,2,86.5,1.17125,-3.392125,-2.220875,3.6068908092,-6.2230158092,-5.9597658092,3.62119188939,-7.0133168893899995,-5.84206688939
85,GeS,GeS_0,1.70199056604,-2.50399056604,-0.794009433962,52.338,IV-VI,0,106.5,2.47261538462,-3.00030769231,-0.527692307692,2.52761230533,-5.03160287137,-3.321621739292,2.53326202439,-5.5335697167,-3.060954332082
86,GeS,GeS_1,2.48470588235,-4.32270588235,-1.82829411765,52.338,IV-VI,1,106.5,3.3472,-4.9456,-1.5984,2.0377683052,-6.36047418755,-3.8660624228500002,2.05204097931,-6.99764097931,-3.65044097931
87,GeS,GeS_2,1.32186826347,-1.40886826347,-0.0791317365269,52.338,IV-VI,2,106.5,2.00976190476,-1.76738095238,0.242380952381,3.20637655085,-4.61524481432,-3.2855082873769,3.2128898044,-4.9802707567799995,-2.970508852019
88,GeSe,GeSe_0,1.16174496644,-2.17174496644,-1.00225503356,75.785,IV-VI,0,114.0,1.80821052632,-2.54810526316,-0.739894736842,2.38989754924,-4.56164251568,-3.3921525828,2.3916442917,-4.939749554860001,-3.131539028542
89,GeSe,GeSe_1,2.27540248963,-4.14640248963,-1.86159751037,75.785,IV-VI,1,114.0,3.12779310345,-4.71689655172,-1.58910344828,1.80158230664,-5.94798479627,-3.66317981701,1.82663413854,-6.54353069026,-3.4157375868199997
90,GeSe,GeSe_2,0.940840336134,-1.48584033613,-0.537159663866,75.785,IV-VI,2,114.0,1.571625,-1.8233125,-0.2516875,2.93740479601,-4.42324513214,-3.474564459876,2.94099945181,-4.76431195181,-3.1926869518100003
91,GeTe,GeTe_0,0.865210084034,-1.39821008403,-0.525789915966,100.10499999999999,IV-VI,0,124.0,1.36,-1.682,-0.322,2.86807564767,-4.2662857317,-3.393865563636,2.86589011421,-4.54789011421,-3.18789011421
92,GeTe,GeTe_1,1.77758737864,-3.30058737864,-1.51441262136,100.10499999999999,IV-VI,1,124.0,2.48184,-3.73192,-1.25008,2.00730493521,-5.30789231385,-3.52171755657,2.02007512571,-5.75199512571,-3.27015512571
93,GeTe,GeTe_2,0.767238095238,-0.953238095238,-0.178761904762,100.10499999999999,IV-VI,2,124.0,1.04354545455,-1.16427272727,-0.120727272727,3.3462779045,-4.299515999738,-3.525039809262,3.34549797862,-4.50977070589,-3.466225251347
94,SnO,SnO_0,2.69476363636,-2.01676363636,0.687763636364,67.3547,IV-VI,0,96.5,3.6964375,-2.68871875,1.00771875,3.13512139627,-5.15188503263,-2.447357759906,3.13955347741,-5.82827222741,-2.13183472741
95,SnO,SnO_1,1.00398484848,5.84601515152,6.86498484848,67.3547,IV-VI,1,96.5,1.1592,5.7274,6.8866,,,,,,
96,SnO,SnO_2,1.12305882353,13.1539411765,14.2900588235,67.3547,IV-VI,2,96.5,0.0,12.84195686,12.84195686,,,,,,
97,SnS,SnS_0,1.46744897959,-1.99944897959,-0.524551020408,75.388,IV-VI,0,116.5,2.23452,-2.46076,-0.22624,2.61639172016,-4.6158406997500006,-3.140942740568,2.61957852099,-5.080338520990001,-2.84581852099
98,SnS,SnS_1,2.31411067194,-4.16011067194,-1.83688932806,75.388,IV-VI,1,116.5,3.14773333333,-4.79636666667,-1.64863333333,2.2234655535,-6.383576225440001,-4.06035488156,2.25129048712,-7.04765715379,-3.8999238204499997
99,SnS,SnS_2,1.36646703297,-1.31946703297,0.054467032967,75.388,IV-VI,2,116.5,2.0652173913,-1.73760869565,0.327608695652,3.16692178971,-4.48638882268,-3.112454756743,3.17099795029,-4.90860664594,-2.8433892546379997
100,SnSe,SnSe_0,0.927419354839,-1.92241935484,-0.987580645161,98.835,IV-VI,0,124.0,1.64666666667,-2.38933333333,-0.742666666667,2.42101580912,-4.34343516396,-3.408596454281,2.42094802255,-4.810281355880001,-3.1636146892170003
101,SnSe,SnSe_1,2.20994715447,-3.98194715447,-1.76305284553,98.835,IV-VI,1,124.0,2.97706896552,-4.55203448276,-1.57496551724,2.00746528768,-5.98941244215,-3.7705181332100004,2.04331588372,-6.59535036648,-3.61828140096
102,SnSe,SnSe_2,0.892375,-1.460375,-0.560625,98.835,IV-VI,2,124.0,1.477125,-1.8460625,-0.3689375,2.84553678814,-4.3059117881399995,-3.40616178814,2.84609344563,-4.692155945630001,-3.21503094563
103,SnTe,SnTe_0,0.684918367347,-1.32091836735,-0.629081632653,123.155,IV-VI,0,134.0,1.26742857143,-1.68021428571,-0.412785714286,2.79733275691,-4.11825112426,-3.426414389563,2.79730877744,-4.4775230631500005,-3.210094491726
104,SnTe,SnTe_1,1.90420779221,-3.19520779221,-1.28279220779,123.155,IV-VI,1,134.0,2.64214285714,-3.71707142857,-1.07492857143,2.22892841278,-5.424136204990001,-3.5117206205700002,2.25105985853,-5.9681312871,-3.32598842996
105,SnTe,SnTe_2,0.796929824561,-0.964929824561,-0.161070175439,123.155,IV-VI,2,134.0,1.32033333333,-1.27866666667,0.0416666666667,3.20854680364,-4.173476628201,-3.369616979079,3.20870261566,-4.48736928233,-3.1670359489933
106,PbO,PbO_0,2.3465,-1.5915,0.7645,111.5997,IV-VI,0,101.0,3.47351612903,-2.36725806452,1.10625806452,3.05577006049,-4.6472700604899995,-2.29127006049,2.99758066003,-5.36483872455,-1.8913225955100001
107,PbO,PbO_1,1.71013333333,5.23086666667,6.95513333333,111.5997,IV-VI,1,101.0,2.01263636364,4.99018181818,7.00281818182,,,,,,
108,PbO,PbO_2,2.21375221239,-1.28775221239,0.935752212389,111.5997,IV-VI,2,101.0,3.29035714286,-2.07067857143,1.21967857143,3.24880257089,-4.53655478328,-2.313050358501,3.18630009684,-5.2569786682699995,-1.9666215254100001
109,PbS,PbS_0,1.64146118721,-2.02346118721,-0.374538812785,119.633,IV-VI,0,121.0,2.40055555556,-2.54577777778,-0.145222222222,2.44170308451,-4.46516427172,-2.816241897295,2.42851996121,-4.97429773899,-2.573742183432
110,PbS,PbS_1,2.06177350427,-3.97077350427,-1.90022649573,119.633,IV-VI,1,121.0,2.8725,-4.51475,-1.64225,2.38658677204,-6.35736027631,-4.2868132677699995,2.44842051991,-6.96317051991,-4.09067051991
111,PbS,PbS_2,1.68947555556,-1.59747555556,0.0994755555556,119.633,IV-VI,2,121.0,2.40162962963,-2.01181481481,0.389814814815,2.90437222961,-4.50184778517,-2.8048966740543997,2.88898397883,-4.90079879364,-2.499169164015
112,PbSe,PbSe_0,1.2803583815,-2.1843583815,-0.896641618497,143.07999999999998,IV-VI,0,128.5,1.95490909091,-2.63945454545,-0.684545454545,2.31455720415,-4.49891558565,-3.2111988226470003,2.30553957059,-4.94499411604,-2.9900850251350004
113,PbSe,PbSe_1,1.89268202765,-3.79868202765,-1.89731797235,143.07999999999998,IV-VI,1,128.5,2.55852,-4.26676,-1.70824,2.17782280711,-5.97650483476,-4.07514077946,2.24334496454,-6.51010496454,-3.95158496454
114,PbSe,PbSe_2,1.34535164835,-1.87335164835,-0.520648351648,143.07999999999998,IV-VI,2,128.5,1.95272727273,-2.29436363636,-0.341636363636,2.66484498334,-4.53819663169,-3.185493334988,2.65416577901,-4.94852941537,-2.9958021426459998
115,PbTe,PbTe_0,1.26796685083,-1.87596685083,-0.601033149171,167.39999999999998,IV-VI,0,138.5,1.872,-2.324,-0.452,2.71063254573,-4.58659939656,-3.311665694901,2.70796060924,-5.03196060924,-3.15996060924
