N_0 2.54299428159 2.54298644865
P_0 3.29312970348 3.29312965485
P_1 2.34007712841 2.34007709439
P_2 4.39656880654 4.39656639817
As_0 2.55400052497 2.55400050676
As_1 1.83633133913 1.83633133713
As_2 3.37657635902 3.37657524789
Sb_0 3.15382200496 3.15382200016
Sb_1 2.4133232106 2.41332320302
Sb_2 3.83822975482 3.83822907231
Bis_0 2.85202910558 2.85202910128
Bis_1 2.5710806647 2.57108065758
BF_0 4.24044546499 4.24013426183
BF_1 2.29191489897 2.29185679567
BF_2 5.89374089897 5.8930135593
BCl_0 2.49303735229 2.49303712027
BCl_1 2.96633011429 2.96620613586
BCl_2 2.98720834954 2.98695759877
BBr_0 1.59976336031 1.59976274706
BBr_1 1.94829216628 1.9482116805
BBr_2 2.66485820094 2.6642226512
BI_0 3.20188638288 3.20188634987
BI_1 2.27607959932 2.27599135512
BI_2 3.73743220746 3.73742905998
AlF_0 3.5820361234 3.58186795854
AlF_2 6.03414923997 6.03335292169
AlCl_0 2.27512559051 2.27512505633
AlCl_1 2.06825197566 2.06823902755
AlCl_2 2.99824351173 2.99823376732
AlBr_0 2.1280996514 2.12809958916
AlBr_1 1.79269421861 1.7926884675
AlBr_2 2.5688515059 2.56885118035
AlI_0 2.47174306412 2.47174305787
AlI_1 1.92774173915 1.92773505587
AlI_2 2.87231545921 2.87231535235
GaF_0 2.09344569002 2.09336364574
GaF_2 2.43713368193 2.43713260952
GaCl_0 1.72998683741 1.72998659843
GaCl_1 1.73158416447 1.73145517388
GaCl_2 2.0279496445 2.02794941578
GaBr_0 1.64005877551 1.64005876584
GaBr_1 1.58865947774 1.5885534005
GaBr_2 1.91827699718 1.91827692822
GaI_0 2.05613690191 2.05613688706
GaI_1 1.77631977429 1.77624176887
GaI_2 2.37395089233 2.37395027174
InF_2 3.48548067494 3.4854796083
InCl_0 1.97307285004 1.97307262412
InCl_1 1.99574854385 1.99559988573
InCl_2 2.31676451208 2.31676430873
InBr_0 1.819607695 1.81960766869
InBr_1 1.86476712744 1.86464266715
InBr_2 2.12456895874 2.12456874592
InI_0 2.10885620529 2.10885600496
InI_1 0.653346398608 0.653340144078
InI_2 2.43514438334 2.43514413394
CO_0 3.61145089574 3.61124881706
CS_0 3.79900463373 3.79900379846
CS_1 3.30356593756 3.30341092998
CS_2 5.46110750528 5.45850136641
CSe_0 3.21044586573 3.21044550431
CSe_1 2.85255235806 2.85238571177
CSe_2 4.14171402185 4.14168357958
CTe_0 3.93625907402 3.93625879056
CTe_1 3.15112349699 3.1509610577
CTe_2 5.14371357159 5.14368894453
SiO_0 4.62382075066 4.62364070853
SiO_2 6.56650783697 6.56548737158
SiS_0 3.05607989145 3.05607983712
SiS_1 2.34389412737 2.34387325758
SiS_2 3.90910647285 3.90910383234
SiSe_0 2.76439980009 2.76439977864
SiSe_1 2.10289778071 2.10287171706
SiSe_2 3.52749487338 3.52749411519
SiTe_0 3.26373733825 3.26373732548
SiTe_1 2.34403481152 2.34400493117
SiTe_2 3.86422348942 3.86422300077
GeO_0 3.11938594783 3.11929665672
GeO_1 2.10961348235 2.10948708611
GeO_2 3.6068908092 3.60688986543
GeS_0 2.52761230533 2.52761228956
GeS_1 2.0377683052 2.03771176625
GeS_2 3.20637655085 3.20637593103
GeSe_0 2.38989754924 2.3898975385
GeSe_1 1.80158230664 1.8015457077
GeSe_2 2.93740479601 2.93740438915
GeTe_0 2.86807564767 2.86807563702
GeTe_1 2.00730493521 2.00728894065
GeTe_2 3.3462779045 3.34627754276
SnO_0 3.13512139627 3.13507836079
SnS_0 2.61639172016 2.61639170901
SnS_1 2.2234655535 2.22337913048
SnS_2 3.16692178971 3.16692130861
SnSe_0 2.42101580912 2.42101575809
SnSe_1 2.00746528768 2.00740366977
SnSe_2 2.84553678814 2.84553664079
SnTe_0 2.79733275691 2.79733273429
SnTe_1 2.22892841278 2.22889023931
SnTe_2 3.20854680364 3.20854670238
PbO_0 3.05577006049 3.0557676876
PbO_2 3.24880257089 3.24879352358
PbS_0 2.44170308451 2.44170301305
PbS_1 2.38658677204 2.38641082937
PbS_2 2.90437222961 2.90437200199
PbSe_0 2.31455720415 2.31455719916
PbSe_1 2.17782280711 2.17768235736
PbSe_2 2.66484498334 2.66484444129
PbTe_0 2.71063254573 2.71063246955
PbTe_1 2.37990831263 2.37981296985
PbTe_2 3.07929532037 3.07929520474
